Rank;Name;Central Mechanisms;Turn Order;Game End Condition;Duration;Theme;Player Amount;Cooperative;Complexity;Interactivity;Relative Rating;Change Rel. Rating;Rank Count;BGG Rating;My Rating;Author(s);Year Of Release;Similar Games;Played With;Play Count;Game Material
143;Arigatō;0;0;0;0;0;0;;0;0;7.62;0;1;0;0;0;0;0;0;0;0
136;Challengers!;deck construction/deck, bag and pool building/finale ending/hand management/open drafting;random;fixed turns;45;turnament;1-8 (8);;2;1;7.61;0.01;16;7.1;7;Johannes Krenner/Markus Slawitschek;2022;Challengers! Beach Cup;bga;2;board/cards
125;PARKS;contracts/end game boni/events/modular board/track movement/variable set-up;claim;condition;45;travelling;1-5 (4);;3;2;7.61;0.02;16;7.7;7;Henry Audubon;2019;;bga;6;variable board/cards/resources/meeple
152;Postcards;area movement/open drafting/set collection;strict clockwise;race;30;travelling/France;2-4 (2);;2;2;7.6;-0.12;2;6.9;7;Eric Dubus/Simon Kayne;2025;;bga;3;
167;Rumble Nation;area majority/area impulse/once per game abilities/re-rolling and locking;strict clockwise;running out;20;medieval/Japan;2-4 (4);;2;3;7.57;-0.09;5;7.4;7;Yogi Shinichi;2017;;bga;10;
132;Mission: Red Planet (Second/Third Edition);action retrieval/area majority/area movement/hand management/simultaneous action selection/take that;role order;fixed turns;60;science fiction;3-6 (4);;2;4;7.57;0.04;7;7.4;7;Bruno Cathala/Bruno Faidutti;2015;;Jannis;1;
97;Cascadia;end game boni/hex grid/open drafting/pattern building/tile placement/variable set-up/victory points as a resource;strict clockwise;fixed turns;30;nature/animals;2-4 (4);;2;1;7.57;0.06;16;8;7;Randy Flynn;2021;;uni game night;10;tiles/tokens
173;Vaalbara;hand management/hidden victory points/open drafting/set collection/simultaneous action selection;role order;fixed turns;20;stoneage;2-5 (5);;2;3;7.55;-0.03;16;7.3;7;Olivier Cipiere;2022;;bga;6;cards
116;Café;action points/contracts/grid coverage/highest lowest scoring/layering/melding and splaying/open drafting/partially overlapping cards/pattern building/square grid/tile placement;progressive;fixed turns;20;cafe;1-4 (2);;2;3;7.55;0.18;4;7.2;7;Costa/Rola;2020;;bga;2;
121;Faraway;constrained bidding/open drafting/set collection/simultaneous action selection/tableau building/tags;auction;fixed turns;20;fantasy;2-5 (3);;2;1;7.54;0.05;11;7.6;7;Johannes Goupy/Corentin Lebrat;2023;;Stefan;3;
148;Wispwood;0;0;0;0;0;0;0;0;0;7.54;0;1;0;0;0;0;0;0;0;0
144;Hadrian's Wall;flip and write/hand management/tech trees;simultaneous;fixed turns;30;ancient Romans;1-3 (1);;3;1;7.53;0.02;4;7.9;7;Bobby Hill;2021;;bga;5;0
129;Zenith;hand management/modular board/multi-use cards/tech tracks/tug of war;strict clockwise;race;30;science fiction;2/4 (2);T;2;4;7.53;0.06;7;7.7;7;Gregory Grard;2025;;bga;2;
118;Survive The Island;action points/grid movement/hex grid/map reduction/memory/modular board/secret unit deployment/take that;strict clockwise;running out;45;survival/island;2-5 (4);;1;4;7.53;0.1;6;7.4;7;Julian Courtland-Smith;2024;;bga;1;
57;Sid Meier's Civilization: The Board Game;deck, bag and pool building/grid movement/hand management/open drafting/player elimination/rock-paper-scissors/square grid/tech tracks/trading/variable player powers/4X;strict clockwise;player elimination/race;240;alternativehistory;2-4 (2);;5;2;7.53;0.1;16;7.4;7;Kevin Wilson;2010;;own;5;
184;Telestrations;drawing/give a clue, get a clue/paper and pencil;simultaneous;fixed turns;30;abstract;4-8 (8);;1;5;7.52;-0.05;14;7.4;7;unknown;2009;;own;1;writing sheet/pens/cards
149;Aquatica;0;0;0;0;0;0;0;0;0;7.52;0;1;0;0;0;0;0;0;0;0
